Document,CER,Tokens (OCR),Length (OCR),Tokens (Truth),Length (Truth),Time
208862_page_27.txt,0.3961,154,755,155,881,0.0000
208862_page_28.txt,0.4393,167,648,86,519,0.0000
208862_page_29.txt,1.2527,137,339,42,186,0.0000
208862_page_3.txt,0.0482,526,3005,536,3069,0.0204
208862_page_30.txt,0.3822,292,1348,286,1711,0.0000
208862_page_31.txt,0.6441,126,465,135,798,0.0000
208862_page_32.txt,0.5988,33,107,33,162,0.0000
208862_page_33.txt,0.2328,447,2403,429,2556,0.0271
208862_page_34.txt,0.0919,468,2582,460,2699,0.0318
208862_page_35.txt,0.2527,554,2713,541,3059,0.0316
208862_page_36.txt,0.2284,232,1059,216,1182,0.0140
208862_page_37.txt,0.3476,58,182,45,210,0.0000
208862_page_4.txt,0.0306,161,875,160,881,0.0000
208862_page_5.txt,0.2126,54,220,56,254,0.0000
208862_page_6.txt,0.2315,354,1883,343,2125,0.0145
208862_page_7.txt,0.1622,295,1470,289,1597,0.0135
208862_page_8.txt,0.3030,369,1667,354,1891,0.0130
208862_page_9.txt,0.3340,91,400,82,476,0.0000
208941_page_1.txt,0.7531,107,333,92,482,0.0000
208941_page_10.txt,0.1911,297,1490,276,1633,0.0085
208941_page_11.txt,0.0811,232,1268,223,1283,0.0087
208941_page_12.txt,0.0713,243,1351,231,1389,0.0156
208941_page_13.txt,0.0464,260,1553,254,1572,0.0155
208941_page_14.txt,0.0510,284,1618,283,1647,0.0079
208941_page_15.txt,0.0495,266,1504,261,1534,0.0000
208941_page_16.txt,0.0512,299,1651,294,1681,0.0108
208941_page_17.txt,0.0729,267,1414,258,1441,0.0000
208941_page_18.txt,0.0477,269,1508,265,1532,0.0000
208941_page_19.txt,0.0629,186,1007,182,1033,0.0000
208941_page_2.txt,0.1446,84,415,71,401,0.0000
208941_page_20.txt,0.0843,307,1678,289,1697,0.0000
208941_page_21.txt,0.0379,312,1785,309,1793,0.0145
208941_page_22.txt,0.0542,308,1701,304,1715,0.0184
208941_page_23.txt,0.1006,318,1718,289,1750,0.0100
208941_page_24.txt,0.1175,306,1727,295,1813,0.0000
208941_page_25.txt,0.0805,328,1807,309,1825,0.0140
